GEOID,NAME,variable,estimate,moe
16,Idaho,B27010_035,557143,6775
16,Idaho,B27010_042,64721,4177
16,Idaho,B27010_050,77797,4746
16,Idaho,B27010_051,333820,1718
16,Idaho,B27010_052,136580,3944
16,Idaho,B27010_058,195629,4153
16,Idaho,B27010_066,1611,617
17,Illinois,B27010_002,2866279,6847
17,Illinois,B27010_003,2594039,12193
17,Illinois,B27010_010,179669,9637
17,Illinois,B27010_017,92571,7757
17,Illinois,B27010_018,2607645,7570
17,Illinois,B27010_019,2196187,14566
17,Illinois,B27010_026,136579,6397
17,Illinois,B27010_033,274879,12555
17,Illinois,B27010_034,4763470,5362
17,Illinois,B27010_035,4035157,16770
17,Illinois,B27010_042,351315,11509
17,Illinois,B27010_050,376998,11842
17,Illinois,B27010_051,2141163,2787
17,Illinois,B27010_052,845607,12772
17,Illinois,B27010_058,1277440,12572
17,Illinois,B27010_066,18116,2552
18,Indiana,B27010_002,1674698,5026
18,Indiana,B27010_003,1459081,12721
18,Indiana,B27010_010,117232,8421
18,Indiana,B27010_017,98385,9355
18,Indiana,B27010_018,1441477,7154
18,Indiana,B27010_019,1185674,10085
18,Indiana,B27010_026,95070,5914
18,Indiana,B27010_033,160733,7729
18,Indiana,B27010_034,2506890,5010
18,Indiana,B27010_035,2084935,11537
18,Indiana,B27010_042,222543,7420
18,Indiana,B27010_050,199412,10371
18,Indiana,B27010_051,1141215,3322
18,Indiana,B27010_052,455786,8509
18,Indiana,B27010_058,680347,8316
18,Indiana,B27010_066,5082,1210
19,Iowa,B27010_002,767282,3765
19,Iowa,B27010_003,669042,6762
19,Iowa,B27010_010,72117,5526
19,Iowa,B27010_017,26123,3332
19,Iowa,B27010_018,664707,4830
19,Iowa,B27010_019,540206,7486
19,Iowa,B27010_026,62067,5127
19,Iowa,B27010_033,62434,4796
19,Iowa,B27010_034,1161573,4609
19,Iowa,B27010_035,982402,8587
19,Iowa,B27010_042,111108,5496
19,Iowa,B27010_050,68063,4128
